date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:52:42	67/67	---MCZ	200	added ('OK')	text/plain	date:Sat,%2016%20Nov%202019%2008:52:41%20GMT	https://sites.google.com/robots.txt		(from )
03:52:42	56442/56442	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202019%2008:52:41%20GMT	https://sites.google.com/view/DeepGrasp	/home/pvela/websites/deepgrasp/sites.google.com/view/DeepGrasp.html	(from )
03:52:42	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/favicon_2.ico	/home/pvela/websites/deepgrasp/ssl.gstatic.com/atari/images/favicon_2.ico	(from https://sites.google.com/view/DeepGrasp)
03:52:42	1334/1334	---MC-	200	added ('OK')	text/css	date:Sat,%2016%20Nov%202019%2008:52:42%20GMT	https://fonts.googleapis.com/css?family=Lato%3A300%2C300italic%2C400%2C400italic%2C700%2C700italic	/home/pvela/websites/deepgrasp/fonts.googleapis.com/cssaa29.css	(from https://sites.google.com/view/DeepGrasp)
03:52:42	2019/2019	---MC-	200	added ('OK')	text/css	date:Sat,%2016%20Nov%202019%2008:52:42%20GMT	https://fonts.googleapis.com/css?family=Google+Sans:400,500|Roboto:300,400,500,700|Source+Code+Pro:400,700	/home/pvela/websites/deepgrasp/fonts.googleapis.com/csse3d2.css	(from https://sites.google.com/view/DeepGrasp)
03:52:43	332845/332845	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Nov%202019%2012:03:31%20GMT	https://www.gstatic.com/_/atari/_/ss/k=atari.vw.HmRwfESrZW8.L.X.O/d=1/ct=zgms/rs=AGEqA5kTuWny1yoQLnWJ7E2olt6Rk9xWCg	/home/pvela/websites/deepgrasp/www.gstatic.com/_/atari/_/ss/k=atari.vw.HmRwfESrZW8.L.X.O/d=1/ct=zgms/rs=AGEqA5kTuWny1yoQLnWJ7E2olt6Rk9xWCg.css	(from https://sites.google.com/view/DeepGrasp)
03:52:43	297036/297036	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	/home/pvela/websites/deepgrasp/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/DeepGrasp)
03:52:43	43/43	---M--	200	added ('OK')	image/gif	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	https://ssl.gstatic.com/docs/common/cleardot.gif	/home/pvela/websites/deepgrasp/ssl.gstatic.com/docs/common/cleardot.gif	(from https://sites.google.com/view/DeepGrasp)
03:52:44	12887/12887	---MC-	200	added ('OK')	application/javascript	date:Sat,%2016%20Nov%202019%2008:52:44%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	/home/pvela/websites/deepgrasp/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/DeepGrasp)
03:52:44	56581/56581	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202019%2008:52:44%20GMT	https://sites.google.com/view/DeepGrasp/%e9%a6%96%e9%a0%81	/home/pvela/websites/deepgrasp/sites.google.com/view/DeepGrasp/%e9%a6%96%e9%a0%81.html	(from https://sites.google.com/view/DeepGrasp)
